   882589.65    -4924872.32     3943729.348    1  GBT XYZ             1  GB
  422333.2      722040.4         306.             QUABBIN             2  QU
  2390490.0     -5564764.0      1994727.0      1  ARECIBO XYZ (JPL)   3  AO
  -424818.0     -1472621.0      50.0              Hobart, Tasmania    4  HO
  402047.7      743853.85         43.             PRINCETON           5  PR
 -1601192.     -5041981.4       3554871.4      1  VLA XYZ             6  VL
 -4554231.5     2816759.1       -3454036.3     1  PARKES  XYZ (JER)   7  PK
 3822252.643   -153995.683      5086051.443    1  JODRELL BANK MkIA   8  JB
  382546.30     795056.36        893.7            GB 300FT            9  G3
  382615.409    795009.613       880.87           GB 140FT            a  G1
  382545.90     795036.87        835.8            GB 85-3             b  G8
  340443.497   1073703.819      2124.             VLA SITE            c  V2
  443118.48    -113848.48         25.             NORTHERN CROSS      d  BO
 -352219.00    -1492525.00       500.0            MOST                e  MO
 4324165.81     165927.11       4670132.83     1  Nancay              f  NC
 4033949.5      486989.4        4900430.8      1  Effelsberg          g  EF
 3822473.365   -153692.318      5085851.303    1  JODRELL BANK mkii   h  JB
 3828445.659    445223.600      5064921.5677   1  WSRT                i  WB
 4323420.896    166028.622      4670690.667    1  EMBRACE             j  EE
 5109943.1050  2003650.7359     -3239908.3195  1  KAT7                k  K7
 5109318.8410  2006836.3673    -3238921.7749   1  MEERKAT             m  MK
       0.0           1.0              0.0      1  centre of earth     o  EC
 1656342.30    5797947.77       2073243.16     1  GMRT                r  GM
-2826711.951    4679231.627     3274665.675    1  SHAO 65m XYZ        s  SH
 3826577.462   461022.624       5064892.526    1  LOFAR               t  LF
 4324016.70769 165545.525467    4670271.363    1  FR606               u  FL
 5088964.00    301689.80        3825017.0      1  PICO VELETA         v  PV
 3307865.236   2487350.541      4836939.784    1  UTR-2               w  U2
-1602196.60    -5042313.47      3553971.51     1  LWA1                x  LW
-2059164.942   -3621108.403     4814432.276    1  CHIME (approx)      y  CH
 4865182.7660  791922.6890      4035137.1740   1  SRT                 z  SR
